Post description,Comment,Bully,LGBTQ A,LGBTQ B,LGBTQ C,LGBTQ Overall
"gosh we love these five idiots so much __Â for me, they have seriously turned my life around and I am so thankful for that x ~Zhanna__Ã”""",@crazycrazycrazy1d lmao just because ur an elounor shipper doesn't mean you have to be a bitch lol shut up ,1,0,0,0,0
Yay or nay? tag your friends_Å½ÂÃ¤,Ew nay ran skin with white blonde hair ,1,0,0,0,0
"Met a recruit in front of me on the plane!""",FUCK YOU ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",Why don't u all shut up and leave me alone! Byeee! ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",How about u shut up aye _Å½Ã›_ ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",Go to hell ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",U a long faced duck @sammypetrou123 ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",Same @dixieluv_ @sammypetrou123 you are not prettier than K. You look like _Å½ÂÂ© compared and you should get a life ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",@sammypetrou123 you go to hell you bitch and @officialkaelyn don't listen to her ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",Yea @sammypetrou123 u need to get a life bit sorry there is no rent a life so go dig a hole and sit there ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",Shut up ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",And one more thing sammypetrou123 whoooooo cares about your st**** boyfriend.....whell i think NONE OF USS exept u :) ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",I bet you she doesn't have a boyfriend she's too ugly! Lol_Å½Ã›__Å½Ã›__Å½Ã›_ @beate15 ,1,0,0,0,0
"_Â_â€°ÃˆÂ""",If you're reading this your parents will die in five years comment on five pics to break the curse // taking no chance yo. _Å½Ã›Â©_Å½Ã›__Å½Ã®Â ,1,0,0,0,0
"New cover on YouTube.com/iamrachelcrow :)""",@jennymcking could you not be such a bitch please ,1,0,0,0,0
"New cover on YouTube.com/iamrachelcrow :)""","Fuck you! And btw, it was the X factor nimrod. She can sing better than you will in your life time. So stfu. @jennymcking ",1,0,0,0,0
"New cover on YouTube.com/iamrachelcrow :)""","@jennymcking lil grl you're only 16, get you some business! And y r u on her page? OMG delete, ignore. I see y u never trust a bitch you the one who can't be trusted POOF! ",1,0,0,0,0
"New cover on YouTube.com/iamrachelcrow :)""",@jennymcking damn. The hate is shining all on you. And why you come on someone page just to talk smack? Lol damn you must have nooo life. #JustSayin ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",Ur a white piece of trash ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",Cocky sumbitch ain't ya? ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",Guys like that r so stupid!! They expect girls to love them!! That's so ridiculous it bothers me so much! I hope u see this to realize how stupid guys like that r _Å½Ã›Â btw if u hadn't noticed that's u ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",@olh_ya like anybody would love u -.- ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",Shove off baby ugly @cake_and_kat ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",Shove off baby ugly @cake_and_kat ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""","@cake_and_kat shut the fuck up grow a pair and stop arguing woth everyone, obviously nobody likes you in here if they keep telling you to shut the fuck up so have at it princess. No one cares about ugly contests and all that bull shot does that have to do with matthew and this picture, no but iregant people like you dont give a shit. Grammar, who gives two shits about grammar you fucking dictionary! ",1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",You look like my foot ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",@janekoblens you should've told me to bring my toolbox it looks like I left a tool in this pic ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",@gavin_andreeko10 why does ur face look like that it looks ugly #haters gana hate ,1,0,0,0,0
"#repost if I'm your #mcm tag it to #matthewpleaselook so I can like or comment on it _Å½Ã›ÃŠ_Å½Ã›_""",@juliaaalsma sorry but I'll spam you with him. ,1,0,0,0,0
"Almost 100k (:""","Haha your a pussy ass bitch brah , probly some ugly ass fat loose cunt mate, bloody hell stfu and go drink bleach you ugly ass anal juicing hoe bag slut @lovingthesematthewthings ",1,1,0,1,1
"Almost 100k (:""",Lol @lovingthesematthewthings and you say im a bitch for not tagging you? stfu.you fat ugly ass bitch your never going to get his.attention ,1,0,0,0,0
"Almost 100k (:""","and I just said ""bye"" so um u stfu dickhead. @weallride97 ",1,0,0,0,0
"Almost 100k (:""",Haha you guys a.pathetic making fan pages hoping he.notices.you guys :b @love_matthewsherrilll and nice btm mate! @jamminjordy ,1,0,0,0,0
"Almost 100k (:""",Ur gay ,1,1,1,1,1
"Almost 100k (:""",Your not cool ,1,0,0,0,0
"Almost 100k (:""",Gaaaaaaay ,1,1,1,1,1
"Ridin' dirty with @hayes_instagram""",@oliviaacuevas fuk U hayes is ugly ,1,0,0,0,0
"New snapback from @larepublicclothing _Ž‚´ Love it""",Fag ,1,1,1,1,1
"Doing kissy face with my baby @drodd36 #BodyEnglish""",Gay man and nerds jojotanktop ,1,1,1,1,1
"Cole & I up at 6 am. JK. He's still asleep _Ž‚_""",anorexiaaa ,1,0,0,0,0
"Cole & I up at 6 am. JK. He's still asleep _Ž‚_""",Stop doing drugs don't let your talent go to waste _ŽÛ_ ,1,0,0,0,0
 WE PLAYING,You suck. ,1,0,0,0,0
 WE PLAYING,Go fuck yourself @jazzzzycat ,1,0,0,0,0
 WE PLAYING,Fuck u white ass cracker @jazzzzycat. Stop hatin bitch ,1,0,0,0,0
 WE PLAYING,@swag_tide kill urself UR a swag fag ass bitch ,1,1,0,0,1
